Time, brightness, Heat
5625,12,167
5639,12,0
5651,11,0
5662,11,591
5676,12,156
5689,11,0
5700,11,0
5712,12,583
5726,11,146
5739,11,0
5750,11,0
5762,11,591
5776,12,133
5789,11,0
5800,11,0
5812,12,594
5825,11,122
5838,12,0
5851,11,0
5862,11,591
5875,12,103
5889,11,0
5900,12,0
5912,12,592
5925,12,90
5938,11,0
5949,11,155
5962,12,587
5977,12,287
5990,12,0
6001,11,0
6012,11,586
6026,12,276
6039,12,0
6051,11,0
6063,12,588
6076,11,262
6089,11,0
6100,11,0
6113,12,589
6126,12,252
6139,12,0
6151,11,0
6162,11,586
6176,11,241
6190,12,0
6201,11,0
6212,11,582
6225,11,226
6239,12,0
6251,11,0
6262,12,588
6276,12,213
6289,12,0
6300,12,0
6312,12,589
6326,12,203
6339,12,0
6350,11,0
6362,11,590
6376,12,192
6389,11,0
6401,11,0
6412,11,591
6425,11,184
6438,12,0
6451,11,0
6462,11,590
6475,12,171
6489,11,0
6500,11,0
6512,12,589
6525,12,159
6539,12,0
6550,11,0
6561,12,593
6576,11,149
6589,11,0
6600,11,0
6611,11,594
6625,11,137
6638,11,0
6650,11,0
6662,11,588
6675,11,124
6688,11,0
6700,11,0
6712,12,590
6725,11,113
6738,12,0
6750,11,0
6761,12,593
6775,11,96
6788,11,0
6799,11,146
6812,12,588
6825,11,292
6839,11,0
6851,11,0
6862,12,587
6876,12,279
6889,11,0
6900,11,0
6913,12,589
6926,11,264
6939,11,0
6950,11,0
6962,12,583
6976,11,249
6989,12,0
7001,11,0
7012,12,588
7025,12,237
7038,11,0
7051,11,0
7062,11,589
7075,12,223
7089,12,0
7100,11,0
7112,12,585
7126,12,214
7139,12,0
7150,11,0
7161,12,588
7176,12,205
7189,11,0
7200,11,0
7212,12,585
7225,13,195
7238,11,0
7250,12,0
7262,13,586
7275,13,187
7288,12,0
7300,12,0
7312,12,593
7325,12,184
7339,13,0
7350,12,0
7361,13,594
7375,13,179
7389,12,0
7400,13,0
7411,12,592
7425,13,171
7438,13,0
7450,13,0
7461,13,594
7475,13,165
7488,13,0
7499,12,0
7512,13,597
7525,13,154
7538,13,0
7549,13,0
7561,12,607
7575,13,151
7588,12,0
7600,13,0
7611,13,617
7624,13,153
7638,13,0
7650,13,0
7661,14,626
7674,13,154
7688,14,0
7699,13,0
7711,12,631
7725,13,129
7738,13,0
7749,13,0
7760,13,632
7775,13,99
7787,14,0
7798,13,0
7810,13,640
7823,14,0
7834,13,0
7846,13,614
7860,14,632
7873,13,0
7884,13,0
7896,12,615
7910,13,625
7923,13,0
7934,13,0
7946,14,585
7959,13,317
7973,13,0
7985,13,0
7996,13,591
8009,13,290
8023,13,0
8034,13,0
8046,14,624
8059,13,624
8073,13,612
8086,13,0
8097,12,424
8112,13,618
8125,13,118
8138,13,1
8150,13,70
8162,13,614
8176,13,254
8189,13,0
8201,13,0
8212,13,616
8225,13,619
8240,14,0
8251,13,0
8262,13,621
8275,13,622
8289,13,0
8300,13,0
8312,13,628
8326,13,573
8339,12,0
8350,13,0
8361,12,601
8376,13,200
8389,13,0
8400,12,0
8412,12,604
8425,13,201
8439,12,0
8451,13,0
8462,13,604
8475,12,211
8488,14,607
8502,12,0
8514,12,506
8527,12,617
8541,13,48
8553,12,0
8564,13,311
8579,13,614
8592,12,178
8605,13,0
8616,12,14
8629,12,608
8643,13,352
8656,12,0
8668,12,0
8679,12,605
8692,13,336
8707,14,0
8718,12,0
8729,13,607
8742,12,320
8756,12,0
8767,12,0
8779,12,608
8793,12,298
8806,12,0
8817,12,0
8828,12,614
8843,12,275
8856,12,0
8867,12,0
8879,12,612
8892,12,263
8906,12,0
8918,12,0
8929,12,610
8942,12,244
8955,12,0
8967,11,0
8979,11,617
8992,12,244
9006,11,0
9017,12,0
9028,11,369
9042,11,222
9056,10,0
9067,11,0
9078,12,206
9092,12,146
9106,11,0
9117,10,0
9128,11,177
9142,11,103
9155,10,0
9166,11,0
9179,11,152
9192,10,65
9204,10,0
9216,10,0
9227,11,133
9241,11,18
9253,10,0
9265,10,0
9276,11,86
9288,10,0
9299,10,0
9312,10,83
9324,11,0
9335,11,0
9347,10,19
9359,10,49
9372,11,0
9383,12,0
9395,10,57
9407,11,0
9418,10,0
9430,9,0
9441,10,0
9452,11,0
9463,9,0
9474,11,0
9485,11,0
9496,9,0
9507,10,0
9519,10,0
9530,8,0
9540,9,0
9550,12,0
9562,9,0
9573,10,0
9584,9,0
9594,10,16
9607,9,0
9617,9,0
9627,10,5
9639,10,0
9651,8,0
9661,9,6
9671,11,0
9682,9,0
9693,8,7
9704,10,0
9715,8,0
9725,9,0
9736,10,0
9747,9,0
9757,9,0
9767,9,0
9779,9,0
9789,9,0
9799,9,0
9809,9,0
9820,8,0
9830,9,0
9841,9,0
9851,9,0
9862,9,0
9872,9,0
9882,9,0
9892,9,0
9904,9,0
9914,7,0
9924,9,0
9934,7,0
9945,9,0
9955,10,0
9966,8,0
9977,9,0
9988,8,0
9998,8,0
10008,9,0
