Time, Brightness, Heat
6643,832,965
6658,832,671
6672,832,402
6686,832,394
6701,832,396
6716,832,380
6730,832,588
6745,832,930
6759,833,966
6774,833,652
6789,833,396
6803,833,399
6817,833,395
6832,833,381
6847,833,605
6861,833,950
6876,833,968
6890,833,635
6904,833,395
6920,833,403
6934,833,396
6948,833,381
6963,834,625
6978,834,953
6992,834,969
7007,833,619
7021,833,397
7035,834,399
7051,834,395
7065,834,382
7079,834,656
7094,834,954
7109,834,965
7123,833,602
7138,833,399
7152,833,395
7166,833,394
7182,833,386
7196,833,683
7211,833,958
7225,833,964
7240,833,586
7255,833,392
7269,833,396
7283,833,395
7298,832,401
7313,833,710
7327,833,959
7342,833,949
7356,833,571
7370,832,395
7386,832,396
7400,832,395
7414,832,420
7429,833,733
7444,833,958
7458,832,932
7473,832,553
7487,832,399
7501,832,395
7517,832,392
7531,832,439
7545,832,758
7560,833,959
7575,832,905
7589,832,537
7604,832,398
7618,832,395
7632,832,393
7648,832,457
7662,833,785
7676,833,961
7691,833,873
7706,833,523
7720,833,400
7735,833,395
7749,833,393
7763,833,471
7779,833,811
7793,833,962
7808,833,837
7822,833,508
7836,833,397
7852,833,393
7866,833,390
7880,833,484
7895,833,822
7910,834,964
7924,833,822
7939,833,497
7953,833,398
7967,833,393
7983,833,393
7997,833,499
8011,833,842
8026,833,967
8041,833,803
8055,833,479
8070,833,400
8084,833,391
8098,833,391
8114,833,516
8128,833,858
8142,833,960
8157,832,778
8172,832,461
8186,832,399
8201,832,391
8215,832,387
8229,832,533
8245,832,881
8259,832,961
8273,832,752
8288,832,443
8302,832,397
8317,832,396
8332,832,382
8346,832,550
8360,832,897
8376,832,960
8390,832,715
8404,832,424
8419,832,398
8433,832,390
8449,832,380
8463,832,564
8477,832,910
8492,832,964
8507,832,683
8521,832,410
8536,832,398
8550,832,397
8564,832,381
8580,832,580
8594,832,916
8608,832,965
8623,832,662
8638,832,399
8652,832,398
8667,832,395
8681,832,380
8695,832,596
8711,832,937
8725,832,965
8739,832,644
8754,832,396
8768,832,400
8783,832,391
8798,831,380
8812,832,612
8826,832,952
8842,831,965
8856,831,627
8870,831,394
8885,831,398
8899,831,393
8914,831,380
8929,831,635
8943,832,951
8957,832,966
8973,831,610
8987,831,393
9001,831,397
9016,831,394
9030,831,381
9046,831,663
9060,831,956
9074,831,963
9089,831,594
9104,831,393
9118,831,398
9133,831,393
9147,831,391
9161,831,689
9177,831,957
9191,831,956
9205,831,580
9220,831,400
9234,831,396
9249,831,390
9264,831,409
9278,831,717
9292,831,957
9308,831,945
9322,831,564
9336,831,397
9351,831,391
9365,831,392
9380,831,426
9395,831,738
9409,831,958
9423,831,928
9439,831,546
9453,831,397
9467,831,395
9482,831,392
9496,831,444
9511,831,767
9526,831,959
9540,831,896
9554,831,530
9570,831,399
9584,831,396
9598,831,387
9613,831,458
9627,831,788
9643,831,958
9657,831,868
9671,831,517
9686,831,399
9700,831,397
9715,831,391
9730,831,472
9744,831,809
9758,831,963
9774,831,838
9788,831,504
9802,831,395
9817,831,391
9831,831,392
9846,831,485
9861,831,830
9875,831,963
9889,831,819
9905,831,489
9919,831,395
9933,830,391
9948,831,390
9962,831,500
9977,831,848
9992,831,963
10006,830,796
